Company,Location,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Year,Month,Day,latitude,longitude,Success,RocketFamily
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1957-10-04,19:28:00,Sputnik 8K71PS,Sputnik-1,Retired,Success,1957,10,4,45.92,63.34,1.0,Sputnik
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1957-11-03,02:30:00,Sputnik 8K71PS,Sputnik-2,Retired,Success,1957,11,3,45.92,63.34,1.0,Sputnik
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1957-12-06,16:44:00,Vanguard,Vanguard TV3,Retired,Failure,1957,12,6,28.449,-80.562,0.0,Vanguard
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",1958-02-01,03:48:00,Juno I,Explorer 1,Retired,Success,1958,2,1,28.489,-80.578,1.0,Juno
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-02-05,07:33:00,Vanguard,Vanguard TV3BU,Retired,Failure,1958,2,5,28.449,-80.562,0.0,Vanguard
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",1958-03-05,18:27:00,Juno I,Explorer 2,Retired,Failure,1958,3,5,28.489,-80.578,0.0,Juno
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-03-17,12:15:00,Vanguard,Vanguard 1,Retired,Success,1958,3,17,28.449,-80.562,1.0,Vanguard
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-03-26,17:38:00,Juno I,Explorer 3,Retired,Success,1958,3,26,28.448,-80.572,1.0,Juno
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-04-27,09:01:00,Sputnik 8A91,Sputnik-3 #1,Retired,Failure,1958,4,27,45.92,63.34,0.0,Sputnik
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-04-28,02:53:00,Vanguard,Vanguard TV5,Retired,Failure,1958,4,28,28.449,-80.562,0.0,Vanguard
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-05-15,07:12:00,Sputnik 8A91,Sputnik-3 #2,Retired,Success,1958,5,15,45.92,63.34,1.0,Sputnik
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-05-28,03:46:00,Vanguard,Vanguard SLV-1,Retired,Failure,1958,5,28,28.449,-80.562,0.0,Vanguard
